Combination,Cohesive energy,Melting point,Volume,Density,Average mass,Covalent radius(pm),Atomic mismatch,Mulliken,Pauling,Pseudopotential,Min radius,ENTROPY,VEC,Enthalpy 
"('Ti', 'Zr', 'Hf', 'Sc', 'V')",5.360000000000000,2105.6,12.2848,6.662000000000000,82.6958,114.2,0.0650695282874666,3.5001,1.432,2.159,0.40625,13.380,4.0,2.56
"('Ti', 'Zr', 'Hf', 'Sc', 'Cr')",5.118000000000000,2099.0,12.0668,6.892,82.9066,113.6,0.0557773351022719,3.5169,1.438,2.161,0.40625,13.380,4.2,-1.6
"('Ti', 'Zr', 'Hf', 'Sc', 'Ga')",4.860000000000000,1733.6,12.981400000000000,6.644,86.4514,117.2,0.0758444064886615,3.4025,1.468,2.012,0.40625,13.380,3.6,-18.88
"('Ti', 'Zr', 'Hf', 'Sc', 'Ni')",5.186,2018.2,11.9388,7.2422000000000000,84.24600000000000,113.2,0.0650695282874666,3.6521,1.488,2.109,0.40625,13.380,5.0,-23.68
"('Ti', 'Zr', 'Hf', 'Sc', 'Y')",5.172,2032.2,14.596800000000000,6.3558,90.2886,117.8,0.0920046467819372,3.4251,1.35,2.261,0.351351,13.380,3.6,8.48
"('Ti', 'Zr', 'Hf', 'Sc', 'Nb')",5.812000000000000,2222.0,12.7868,7.178,91.08860000000000,116.2,0.0486653591281428,3.5401,1.426,2.225,0.40625,13.380,4.0,7.2
"('Ti', 'Zr', 'Hf', 'Sc', 'Mo')",5.662,2251.0,12.4968,7.502000000000000,91.6974,115.6,0.0486653591281428,3.5561,1.538,2.217,0.40625,13.380,4.2,2.24
"('Ti', 'Zr', 'Hf', 'Sc', 'Tc')",5.668000000000000,2162.0,12.3468,7.662000000000000,92.0888,115.0,0.0650695282874666,3.5554,1.486,2.203,0.40625,13.380,4.4,-25.76
"('Ti', 'Zr', 'Hf', 'Sc', 'Ru')",5.646000000000000,2189.6,12.2548,7.882000000000000,92.7214,113.6,0.0758444064886615,3.613,1.546,2.194,0.40625,13.380,4.6,-28.96
"('Ti', 'Zr', 'Hf', 'Sc', 'Ta')",5.918000000000000,2327.6,12.7908,8.742,108.69740000000000,116.8,0.0486653591281428,3.5597,1.406,2.231,0.40625,13.380,4.0,6.4
"('Ti', 'Zr', 'Hf', 'Sc', 'W')",6.078,2409.6,12.5148,9.3112,109.27540000000000,116.0,0.0650695282874666,3.64,1.578,2.22,0.40625,13.380,4.2,0.8
"('Ti', 'Zr', 'Hf', 'Sc', 'Ir')",5.686,2209.6,12.3248,9.9738,110.9514,114.4,0.0650695282874666,3.8258,1.546,2.1986,0.40625,13.380,4.8,-39.36
"('Ti', 'Zr', 'Hf', 'Sc', 'Au')",5.06,1940.4,12.6628,9.322,111.90140000000000,117.6,0.0650695282874666,3.9262,1.614,2.205,0.40625,13.380,5.2,-38.56
"('Ti', 'Zr', 'Hf', 'Sc', 'Al')",4.976,1859.6,12.6208,6.002000000000000,77.9038,115.2,0.0876469301137756,3.415,1.428,2.008,0.40625,13.380,3.6,-21.44
"('Ti', 'Zr', 'Hf', 'Sc', 'In')",4.802,1759.0,13.7728,6.924000000000000,95.4714,122.2,0.0443289541380746,3.38952,1.462,2.083,0.40625,13.380,3.6,-9.76
"('Ti', 'Zr', 'Hf', 'Sc', 'La')",5.192000000000000,1911.6,15.098000000000000,6.692,100.2894,120.8,0.113513458897496,3.37982,1.326,2.289,0.333,13.380,3.6,10.72
"('Ti', 'Zr', 'Hf', 'V', 'Cr')",5.4,2169.2,10.730800000000000,7.494,84.1038,112.0,0.057700691485109,3.5698,1.492,2.097,0.419355,13.380,4.6,-6.08
"('Ti', 'Zr', 'Hf', 'V', 'Ga')",5.1420000000000000,1803.8,11.6454,7.246,87.64860000000000,115.6,0.0719974135733339,3.4554,1.522,1.948,0.419355,13.380,4.0,-18.08
"('Ti', 'Zr', 'Hf', 'V', 'Ni')",5.468,2088.4,10.602800000000000,7.844200000000000,85.4432,111.6,0.063646884652165,3.705,1.542,2.045,0.419355,13.380,5.4,-24.32
"('Ti', 'Zr', 'Hf', 'V', 'Y')",5.454,2102.4,13.2608,6.957800000000000,91.48580000000000,116.2,0.113218154377679,3.478,1.404,2.197,0.351351,13.380,4.0,7.04
"('Ti', 'Zr', 'Hf', 'V', 'Nb')",6.094000000000000,2292.2,11.4508,7.780000000000000,92.28580000000000,114.6,0.054794520547946,3.593,1.48,2.161,0.419355,13.380,4.4,0.16
"('Ti', 'Zr', 'Hf', 'V', 'Mo')",5.944,2321.2,11.1608,8.104,92.8946,114.0,0.054794520547946,3.609,1.592,2.153,0.419355,13.380,4.6,-3.52
"('Ti', 'Zr', 'Hf', 'V', 'Tc')",5.95,2232.2,11.0108,8.264,93.286,113.4,0.063646884652165,3.6083,1.54,2.139,0.419355,13.380,4.8,-26.88
"('Ti', 'Zr', 'Hf', 'V', 'Ru')",5.928,2259.8,10.918800000000000,8.484,93.9186,112.0,0.0719974135733339,3.6659,1.6,2.13,0.419355,13.380,5.0,-29.92
"('Ti', 'Zr', 'Hf', 'V', 'Ta')",6.2,2397.8,11.4548,9.344,109.8946,115.2,0.054794520547946,3.6126,1.46,2.167,0.419355,13.380,4.4,-0.32
"('Ti', 'Zr', 'Hf', 'V', 'W')",6.360000000000000,2479.8,11.178800000000000,9.9132,110.47260000000000,114.4,0.063646884652165,3.6929,1.632,2.156,0.419355,13.380,4.6,-4.8
"('Ti', 'Zr', 'Hf', 'V', 'Ir')",5.968,2279.8,10.988800000000000,10.575800000000000,112.14860000000000,112.8,0.063646884652165,3.8787,1.6,2.1346,0.419355,13.380,5.2,-38.88
"('Ti', 'Zr', 'Hf', 'V', 'Au')",5.342,2010.6,11.3268,9.924000000000000,113.0986,116.0,0.063646884652165,3.9791,1.668,2.141,0.419355,13.380,5.6,-33.76
"('Ti', 'Zr', 'Hf', 'V', 'Al')",5.258,1929.8,11.2848,6.604000000000000,79.101,113.6,0.0821260830259911,3.4679,1.482,1.944,0.419355,13.380,4.0,-21.92
"('Ti', 'Zr', 'Hf', 'V', 'In')",5.084,1829.2,12.4368,7.526000000000000,96.6686,120.6,0.058904039777578,3.44242,1.516,2.019,0.419,13.380,4.0,-7.04
"('Ti', 'Zr', 'Hf', 'V', 'La')",5.474000000000000,1981.8,13.762,7.294,101.4866,119.2,0.135072484010933,3.43272,1.38,2.225,0.333,13.380,4.0,9.92
"('Ti', 'Zr', 'Hf', 'Cr', 'Ga')",4.9000000000000000,1797.2,11.4274,7.476000000000000,87.85940000000000,115.0,0.0673288869085606,3.4722,1.528,1.95,0.419355,13.380,4.2,-20.16
"('Ti', 'Zr', 'Hf', 'Cr', 'Ni')",5.226,2081.8,10.384800000000000,8.0742,85.654,111.0,0.057700691485109,3.7218,1.548,2.047,0.419355,13.380,5.6,-25.76
"('Ti', 'Zr', 'Hf', 'Cr', 'Y')",5.212,2095.8,13.0428,7.1878,91.6966,115.6,0.106010817581644,3.4948,1.41,2.199,0.351351,13.380,4.2,2.88
"('Ti', 'Zr', 'Hf', 'Cr', 'Nb')",5.852000000000000,2285.6,11.232800000000000,8.01,92.4966,114.0,0.0461382992049326,3.6098,1.486,2.163,0.419355,13.380,4.6,-4
"('Ti', 'Zr', 'Hf', 'Cr', 'Mo')",5.702,2314.6,10.942800000000000,8.334,93.1054,113.4,0.0461382992049326,3.6258,1.598,2.155,0.419355,13.380,4.8,-6.72
"('Ti', 'Zr', 'Hf', 'Cr', 'Tc')",5.708,2225.6,10.792800000000000,8.494,93.4968,112.8,0.057700691485109,3.6251,1.546,2.141,0.419355,13.380,5.0,-28.16
"('Ti', 'Zr', 'Hf', 'Cr', 'Ru')",5.686,2253.2,10.700800000000000,8.714,94.1294,111.4,0.0673288869085606,3.6827,1.606,2.132,0.419355,13.380,5.2,-31.04
"('Ti', 'Zr', 'Hf', 'Cr', 'Ta')",5.958,2391.2,11.2368,9.574,110.1054,114.6,0.0461382992049326,3.6294,1.466,2.169,0.419355,13.380,4.6,-4.48
"('Ti', 'Zr', 'Hf', 'Cr', 'W')",6.118000000000000,2473.2,10.9608,10.143200000000000,110.6834,113.8,0.057700691485109,3.7097,1.638,2.158,0.419355,13.380,4.8,-7.68
"('Ti', 'Zr', 'Hf', 'Cr', 'Ir')",5.726,2273.2,10.7708,10.8058,112.35940000000000,112.2,0.057700691485109,3.8955,1.606,2.1366,0.419355,13.380,5.4,-39.52
"('Ti', 'Zr', 'Hf', 'Cr', 'Au')",5.1,2004.0,11.1088,10.154,113.30940000000000,115.4,0.057700691485109,3.9959,1.674,2.143,0.419355,13.380,5.8,-33.92
"('Ti', 'Zr', 'Hf', 'Cr', 'Al')",5.016,1923.2,11.0668,6.8340000000000000,79.31180000000000,113.0,0.0784963088134377,3.4847,1.488,1.946,0.419355,13.380,4.2,-24.16
"('Ti', 'Zr', 'Hf', 'Cr', 'In')",4.842,1822.6,12.2188,7.756,96.8794,120.0,0.049318585425165,3.45922,1.522,2.021,0.419,13.380,4.2,-8.96
"('Ti', 'Zr', 'Hf', 'Cr', 'La')",5.232000000000000,1975.2,13.544,7.524000000000000,101.69740000000000,118.6,0.128340392863757,3.44952,1.386,2.227,0.333,13.380,4.2,5.92
"('Ti', 'Zr', 'Hf', 'Ga', 'Ni')",4.968,1716.4,11.2994,7.8262,89.1988,114.6,0.0719974135733339,3.6074,1.578,1.898,0.419355,13.380,5.0,-38.08
"('Ti', 'Zr', 'Hf', 'Ga', 'Y')",4.954,1730.4,13.957400000000000,6.9398,95.24140000000000,119.2,0.121575655148618,3.3804,1.44,2.05,0.351351,13.380,3.6,-16.32
"('Ti', 'Zr', 'Hf', 'Ga', 'Nb')",5.594000000000000,1920.2,12.1474,7.7620000000000000,96.04140000000000,117.6,0.0654264343483117,3.4954,1.516,2.014,0.419355,13.380,4.0,-15.2
"('Ti', 'Zr', 'Hf', 'Ga', 'Mo')",5.444,1949.2,11.8574,8.086,96.65020000000000,117.0,0.0654264343483117,3.5114,1.628,2.006,0.419355,13.380,4.2,-16.64
"('Ti', 'Zr', 'Hf', 'Ga', 'Tc')",5.45,1860.2,11.7074,8.246,97.0416,116.4,0.0719974135733339,3.5107,1.576,1.992,0.419355,13.380,4.4,-39.36
"('Ti', 'Zr', 'Hf', 'Ga', 'Ru')",5.428,1887.8,11.6154,8.466,97.67420000000000,115.0,0.0790490997205772,3.5683,1.636,1.983,0.419355,13.380,4.6,-41.92
"('Ti', 'Zr', 'Hf', 'Ga', 'Ta')",5.7,2025.8,12.151400000000000,9.326000000000000,113.6502,118.2,0.0654264343483117,3.515,1.496,2.02,0.419355,13.380,4.0,-16
"('Ti', 'Zr', 'Hf', 'Ga', 'W')",5.860000000000000,2107.8,11.875400000000000,9.895200000000000,114.22820000000000,117.4,0.0719974135733339,3.5953,1.668,2.009,0.419355,13.380,4.2,-17.12
"('Ti', 'Zr', 'Hf', 'Ga', 'Ir')",5.468,1907.8,11.685400000000000,10.5578,115.90420000000000,115.8,0.0719974135733339,3.7811,1.636,1.9876,0.419355,13.380,4.8,-51.04
"('Ti', 'Zr', 'Hf', 'Ga', 'Au')",4.842,1638.6,12.023400000000000,9.906,116.85420000000000,119.0,0.0719974135733339,3.8815,1.704,1.994,0.419355,13.380,5.2,-48
"('Ti', 'Zr', 'Hf', 'Ga', 'Al')",4.758,1557.8,11.981400000000000,6.586,82.8566,116.6,0.0880118698297207,3.3703,1.518,1.797,0.419355,13.380,3.6,-33.44
"('Ti', 'Zr', 'Hf', 'Ga', 'In')",4.584,1457.2,13.1334,7.508,100.42420000000000,123.6,0.0700383002788217,3.34482,1.552,1.872,0.419,13.380,3.6,-22.72
"('Ti', 'Zr', 'Hf', 'Ga', 'La')",4.974000000000000,1609.8,14.458600000000000,7.276000000000000,105.2422,122.2,0.142812539491474,3.33512,1.416,2.078,0.333,13.380,3.6,-14.4
"('Ti', 'Zr', 'Hf', 'Ni', 'Y')",5.28,2015.0,12.9148,7.538000000000000,93.036,115.2,0.113218154377679,3.63,1.46,2.147,0.351351,13.380,5.0,-19.52
"('Ti', 'Zr', 'Hf', 'Ni', 'Nb')",5.92,2204.8,11.104800000000000,8.3602,93.836,113.6,0.054794520547946,3.745,1.536,2.111,0.419355,13.380,5.4,-23.36
"('Ti', 'Zr', 'Hf', 'Ni', 'Mo')",5.7700000000000000,2233.8,10.814800000000000,8.6842,94.4448,113.0,0.054794520547946,3.761,1.648,2.103,0.419355,13.380,5.6,-23.52
"('Ti', 'Zr', 'Hf', 'Ni', 'Tc')",5.776000000000000,2144.8,10.664800000000000,8.8442,94.83620000000000,112.4,0.063646884652165,3.7603,1.596,2.089,0.419355,13.380,5.8,-42.24
"('Ti', 'Zr', 'Hf', 'Ni', 'Ru')",5.7540000000000000,2172.4,10.5728,9.064200000000000,95.4688,111.0,0.0719974135733339,3.8179,1.656,2.08,0.419355,13.380,6.0,-44.8
"('Ti', 'Zr', 'Hf', 'Ni', 'Ta')",6.026000000000000,2310.4,11.1088,9.9242,111.44480000000000,114.2,0.054794520547946,3.7646,1.516,2.117,0.419355,13.380,5.4,-23.68
"('Ti', 'Zr', 'Hf', 'Ni', 'W')",6.186,2392.4,10.8328,10.4934,112.0228,113.4,0.063646884652165,3.8449,1.688,2.106,0.419355,13.380,5.6,-24
"('Ti', 'Zr', 'Hf', 'Ni', 'Ir')",5.7940000000000000,2192.4,10.6428,11.156,113.6988,111.8,0.063646884652165,4.0307,1.656,2.0846,0.419355,13.380,6.2,-52.64
"('Ti', 'Zr', 'Hf', 'Ni', 'Au')",5.168,1923.2,10.9808,10.5042,114.64880000000000,115.0,0.063646884652165,4.1311,1.724,2.091,0.419355,13.380,6.6,-48.48
"('Ti', 'Zr', 'Hf', 'Ni', 'Al')",5.0840000000000000,1842.4,10.9388,7.1842000000000000,80.65120000000000,112.6,0.0821260830259911,3.6199,1.538,1.894,0.419355,13.380,5.0,-41.76
"('Ti', 'Zr', 'Hf', 'Ni', 'In')",4.91,1741.8,12.0908,8.106200000000000,98.2188,119.6,0.058904039777578,3.59442,1.572,1.969,0.419,13.380,5.0,-27.52
"('Ti', 'Zr', 'Hf', 'Ni', 'La')",5.3,1894.4,13.416,7.8742,103.0368,118.2,0.135072484010933,3.58472,1.436,2.175,0.333,13.380,5.0,-16.8
"('Ti', 'Zr', 'Hf', 'Y', 'Nb')",5.906000000000000,2218.8,13.762800000000000,7.4738,99.8786,118.2,0.100131406101369,3.518,1.398,2.263,0.351351,13.380,4.0,12
"('Ti', 'Zr', 'Hf', 'Y', 'Mo')",5.756,2247.8,13.472800000000000,7.7978000000000000,100.48740000000000,117.6,0.100131406101369,3.534,1.51,2.255,0.351351,13.380,4.2,7.2
"('Ti', 'Zr', 'Hf', 'Y', 'Tc')",5.7620000000000000,2158.8,13.322800000000000,7.957800000000000,100.8788,117.0,0.113218154377679,3.5333,1.458,2.241,0.351351,13.380,4.4,-21.28
"('Ti', 'Zr', 'Hf', 'Y', 'Ru')",5.74,2186.4,13.230800000000000,8.177800000000000,101.51140000000000,115.6,0.121575655148618,3.5909,1.518,2.232,0.351351,13.380,4.6,-24.48
"('Ti', 'Zr', 'Hf', 'Y', 'Ta')",6.0120000000000000,2324.4,13.766800000000000,9.0378,117.48740000000000,118.8,0.100131406101369,3.5376,1.378,2.269,0.351351,13.380,4.0,11.04
"('Ti', 'Zr', 'Hf', 'Y', 'W')",6.172,2406.4,13.490800000000000,9.607,118.0654,118.0,0.113218154377679,3.6179,1.55,2.258,0.351351,13.380,4.2,6.08
"('Ti', 'Zr', 'Hf', 'Y', 'Ir')",5.78,2206.4,13.300800000000000,10.2696,119.7414,116.4,0.113218154377679,3.8037,1.518,2.2366,0.351351,13.380,4.8,-35.04
"('Ti', 'Zr', 'Hf', 'Y', 'Au')",5.154,1937.2,13.638800000000000,9.617800000000000,120.6914,119.6,0.113218154377679,3.9041,1.586,2.243,0.351351,13.380,5.2,-35.68
"('Ti', 'Zr', 'Hf', 'Y', 'Al')",5.07,1856.4,13.596800000000000,6.2978000000000000,86.69380000000000,117.2,0.13091939961929,3.3929,1.4,2.046,0.351351,13.380,3.6,-18.56
"('Ti', 'Zr', 'Hf', 'Y', 'In')",4.896,1755.8,14.7488,7.219800000000000,104.26140000000000,124.2,0.0930185978272103,3.36742,1.434,2.121,0.351351,13.380,3.6,-7.84
"('Ti', 'Zr', 'Hf', 'Y', 'La')",5.286,1908.4,16.074000000000000,6.9878,109.0794,122.8,0.124043736638397,3.35772,1.298,2.327,0.333,13.380,3.6,13.28
"('Ti', 'Zr', 'Hf', 'Nb', 'Mo')",6.396,2437.6,11.6628,8.62,101.2874,116.0,0.0405405405405418,3.649,1.586,2.219,0.419355,13.380,4.6,-1.6
"('Ti', 'Zr', 'Hf', 'Nb', 'Tc')",6.402000000000000,2348.6,11.5128,8.78,101.6788,115.4,0.054794520547946,3.6483,1.534,2.205,0.419355,13.380,4.8,-26.4
"('Ti', 'Zr', 'Hf', 'Nb', 'Ru')",6.38,2376.2,11.4208,9.0,102.3114,114.0,0.0654264343483117,3.7059,1.594,2.196,0.419355,13.380,5.0,-29.6
"('Ti', 'Zr', 'Hf', 'Nb', 'Ta')",6.652000000000000,2514.2,11.9568,9.86,118.2874,117.2,0.0405405405405418,3.6526,1.454,2.233,0.419355,13.380,4.4,2.72
"('Ti', 'Zr', 'Hf', 'Nb', 'W')",6.812,2596.2,11.6808,10.4292,118.8654,116.4,0.054794520547946,3.7329,1.626,2.222,0.419355,13.380,4.6,-3.04
"('Ti', 'Zr', 'Hf', 'Nb', 'Ir')",6.42,2396.2,11.490800000000000,11.091800000000000,120.5414,114.8,0.054794520547946,3.9187,1.594,2.2006,0.419355,13.380,5.2,-39.04
"('Ti', 'Zr', 'Hf', 'Nb', 'Au')",5.794,2127.0,11.8288,10.440000000000000,121.4914,118.0,0.054794520547946,4.0191,1.662,2.207,0.419355,13.380,5.6,-32.96
"('Ti', 'Zr', 'Hf', 'Nb', 'Al')",5.71,2046.2,11.7868,7.12,87.49380000000000,115.6,0.0773300605948617,3.5079,1.476,2.01,0.419355,13.380,4.0,-19.36
"('Ti', 'Zr', 'Hf', 'Nb', 'In')",5.536,1945.6,12.9388,8.042,105.0614,122.6,0.0421637021355769,3.48242,1.51,2.085,0.419,13.380,4.0,-3.68
"('Ti', 'Zr', 'Hf', 'Nb', 'La')",5.926,2098.2,14.264,7.81,109.8794,121.2,0.122726072339652,3.47272,1.374,2.291,0.333,13.380,4.0,15.04
"('Ti', 'Zr', 'Hf', 'Mo', 'Tc')",6.252,2377.6,11.222800000000000,9.104,102.2876,114.8,0.054794520547946,3.6643,1.646,2.197,0.419355,13.380,5.0,-26.24
"('Ti', 'Zr', 'Hf', 'Mo', 'Ru')",6.2300000000000000,2405.2,11.1308,9.324,102.9202,113.4,0.0654264343483117,3.7219,1.706,2.188,0.419355,13.380,5.2,-29.12
"('Ti', 'Zr', 'Hf', 'Mo', 'Ta')",6.502,2543.2,11.6668,10.184,118.8962,116.6,0.0405405405405418,3.6686,1.566,2.225,0.419355,13.380,4.6,-1.92
"('Ti', 'Zr', 'Hf', 'Mo', 'W')",6.662000000000000,2625.2,11.3908,10.753200000000000,119.4742,115.8,0.054794520547946,3.7489,1.738,2.214,0.419355,13.380,4.8,-5.6
"('Ti', 'Zr', 'Hf', 'Mo', 'Ir')",6.2700000000000000,2425.2,11.200800000000000,11.415800000000000,121.1502,114.2,0.054794520547946,3.9347,1.706,2.1926,0.419355,13.380,5.4,-37.76
"('Ti', 'Zr', 'Hf', 'Mo', 'Au')",5.644,2156.0,11.5388,10.764,122.1002,117.4,0.054794520547946,4.0351,1.774,2.199,0.419355,13.380,5.8,-31.2
"('Ti', 'Zr', 'Hf', 'Mo', 'Al')",5.5600000000000000,2075.2,11.4968,7.444,88.10260000000000,115.0,0.0773300605948617,3.5239,1.588,2.002,0.419355,13.380,4.2,-21.12
"('Ti', 'Zr', 'Hf', 'Mo', 'In')",5.386,1974.6,12.6488,8.366,105.6702,122.0,0.0421637021355769,3.49842,1.622,2.077,0.419,13.380,4.2,-4.64
"('Ti', 'Zr', 'Hf', 'Mo', 'La')",5.776,2127.2,13.974,8.134000000000000,110.4882,120.6,0.122726072339652,3.48872,1.486,2.283,0.333,13.380,4.2,10.4
"('Ti', 'Zr', 'Hf', 'Tc', 'Ru')",6.236,2316.2,10.9808,9.484,103.3116,112.8,0.0719974135733339,3.7212,1.654,2.174,0.419355,13.380,5.4,-46.88
"('Ti', 'Zr', 'Hf', 'Tc', 'Ta')",6.508,2454.2,11.5168,10.344,119.2876,116.0,0.054794520547946,3.6679,1.514,2.211,0.419355,13.380,4.8,-26.72
"('Ti', 'Zr', 'Hf', 'Tc', 'W')",6.668000000000000,2536.2,11.2408,10.9132,119.8656,115.2,0.063646884652165,3.7482,1.686,2.2,0.419355,13.380,5.0,-26.72
"('Ti', 'Zr', 'Hf', 'Tc', 'Ir')",6.276,2336.2,11.0508,11.575800000000000,121.54160000000000,113.6,0.063646884652165,3.934,1.654,2.1786,0.419355,13.380,5.6,-54.72
"('Ti', 'Zr', 'Hf', 'Tc', 'Au')",5.6500000000000000,2067.0,11.3888,10.924000000000000,122.49160000000000,116.8,0.063646884652165,4.0344,1.722,2.185,0.419355,13.380,6.0,-49.44
"('Ti', 'Zr', 'Hf', 'Tc', 'Al')",5.566,1986.2,11.3468,7.604000000000000,88.494,114.4,0.0821260830259911,3.5232,1.536,1.988,0.419355,13.380,4.4,-43.52
"('Ti', 'Zr', 'Hf', 'Tc', 'In')",5.3920000000000000,1885.6,12.4988,8.526,106.0616,121.4,0.058904039777578,3.49772,1.57,2.063,0.419,13.380,4.4,-28.16
"('Ti', 'Zr', 'Hf', 'Tc', 'La')",5.782000000000000,2038.2,13.824000000000000,8.294,110.87960000000000,120.0,0.135072484010933,3.48802,1.434,2.269,0.333,13.380,4.4,-18.24
"('Ti', 'Zr', 'Hf', 'Ru', 'Ta')",6.486,2481.8,11.424800000000000,10.564,119.9202,114.6,0.0654264343483117,3.7255,1.574,2.202,0.419355,13.380,5.0,-29.76
"('Ti', 'Zr', 'Hf', 'Ru', 'W')",6.646000000000000,2563.8,11.1488,11.133200000000000,120.4982,113.8,0.0719974135733339,3.8058,1.746,2.191,0.419355,13.380,5.2,-29.6
"('Ti', 'Zr', 'Hf', 'Ru', 'Ir')",6.254,2363.8,10.9588,11.7958,122.1742,112.2,0.0719974135733339,3.9916,1.714,2.1696,0.419355,13.380,5.8,-56.96
"('Ti', 'Zr', 'Hf', 'Ru', 'Au')",5.628000000000000,2094.6,11.296800000000000,11.144,123.1242,115.4,0.0719974135733339,4.092,1.782,2.176,0.419355,13.380,6.2,-51.68
"('Ti', 'Zr', 'Hf', 'Ru', 'Al')",5.544,2013.8,11.2548,7.824000000000000,89.12660000000000,113.0,0.0880118698297207,3.5808,1.596,1.979,0.419355,13.380,4.6,-46.08
"('Ti', 'Zr', 'Hf', 'Ru', 'In')",5.370000000000000,1913.2,12.4068,8.746,106.6942,120.0,0.0700383002788217,3.55532,1.63,2.054,0.419,13.380,4.6,-30.72
"('Ti', 'Zr', 'Hf', 'Ru', 'La')",5.76,2065.8,13.732,8.514,111.5122,118.6,0.142812539491474,3.54562,1.494,2.26,0.333,13.380,4.6,-21.44
"('Ti', 'Zr', 'Hf', 'Ta', 'W')",6.918000000000000,2701.8,11.6848,11.993200000000000,136.4742,117.0,0.054794520547946,3.7525,1.606,2.228,0.419355,13.380,4.6,-3.36
"('Ti', 'Zr', 'Hf', 'Ta', 'Ir')",6.526000000000000,2501.8,11.494800000000000,12.6558,138.15020000000000,115.4,0.054794520547946,3.9383,1.574,2.2066,0.419355,13.380,5.2,-39.36
"('Ti', 'Zr', 'Hf', 'Ta', 'Au')",5.9000000000000000,2232.6,11.8328,12.004,139.1002,118.6,0.054794520547946,4.0387,1.642,2.213,0.419355,13.380,5.6,-33.44
"('Ti', 'Zr', 'Hf', 'Ta', 'Al')",5.816,2151.8,11.7908,8.684000000000000,105.10260000000000,116.2,0.0773300605948617,3.5275,1.456,2.016,0.419355,13.380,4.0,-20
"('Ti', 'Zr', 'Hf', 'Ta', 'In')",5.6420000000000000,2051.2,12.9428,9.606,122.6702,123.2,0.0421637021355769,3.50202,1.49,2.091,0.419,13.380,4.0,-4.48
"('Ti', 'Zr', 'Hf', 'Ta', 'La')",6.032000000000000,2203.8,14.268,9.374000000000000,127.4882,121.8,0.122726072339652,3.49232,1.354,2.297,0.333,13.380,4.0,14.08
"('Ti', 'Zr', 'Hf', 'W', 'Ir')",6.686,2583.8,11.218800000000000,13.225,138.72820000000000,114.6,0.063646884652165,4.0186,1.746,2.1956,0.419355,13.380,5.4,-38.08
"('Ti', 'Zr', 'Hf', 'W', 'Au')",6.0600000000000000,2314.6,11.556800000000000,12.5732,139.6782,117.8,0.063646884652165,4.119,1.814,2.202,0.419355,13.380,5.8,-30.88
"('Ti', 'Zr', 'Hf', 'W', 'Al')",5.976000000000000,2233.8,11.5148,9.253200000000000,105.6806,115.4,0.0821260830259911,3.6078,1.628,2.005,0.419355,13.380,4.2,-21.76
"('Ti', 'Zr', 'Hf', 'W', 'In')",5.8020000000000000,2133.2,12.666800000000000,10.1752,123.2482,122.4,0.058904039777578,3.58232,1.662,2.08,0.419,13.380,4.2,-4.96
"('Ti', 'Zr', 'Hf', 'W', 'La')",6.192,2285.8,13.992000000000000,9.943200000000000,128.0662,121.0,0.135072484010933,3.57262,1.526,2.286,0.333,13.380,4.2,9.44
"('Ti', 'Zr', 'Hf', 'Ir', 'Au')",5.668,2114.6,11.3668,13.235800000000000,141.35420000000000,116.2,0.063646884652165,4.3048,1.782,2.1806,0.419355,13.380,6.4,-59.52
"('Ti', 'Zr', 'Hf', 'Ir', 'Al')",5.5840000000000000,2033.8,11.3248,9.9158,107.3566,113.8,0.0821260830259911,3.7936,1.596,1.9836,0.419355,13.380,4.8,-55.04
"('Ti', 'Zr', 'Hf', 'Ir', 'In')",5.41,1933.2,12.476800000000000,10.837800000000000,124.92420000000000,120.8,0.058904039777578,3.76812,1.63,2.0586,0.419,13.380,4.8,-39.84
"('Ti', 'Zr', 'Hf', 'Ir', 'La')",5.8,2085.8,13.802000000000000,10.6058,129.7422,119.4,0.135072484010933,3.75842,1.494,2.2646,0.333,13.380,4.8,-32.16
"('Ti', 'Zr', 'Hf', 'Au', 'Al')",4.958,1764.6,11.6628,9.264000000000000,108.3066,117.0,0.0821260830259911,3.894,1.664,1.99,0.419355,13.380,5.2,-51.04
"('Ti', 'Zr', 'Hf', 'Au', 'In')",4.784,1664.0,12.8148,10.186000000000000,125.87420000000000,124.0,0.058904039777578,3.86852,1.698,2.065,0.419,13.380,5.2,-38.88
"('Ti', 'Zr', 'Hf', 'Au', 'La')",5.1740000000000000,1816.6,14.14,9.954,130.6922,122.6,0.135072484010933,3.85882,1.562,2.271,0.333,13.380,5.2,-33.44
"('Ti', 'Zr', 'Hf', 'Al', 'In')",4.7,1583.2,12.7728,6.866,91.8766,121.6,0.0821917808219185,3.35732,1.512,1.868,0.419,13.380,3.6,-24.64
"('Ti', 'Zr', 'Hf', 'Al', 'La')",5.09,1735.8,14.098000000000000,6.634,96.6946,120.2,0.151453295970009,3.34762,1.376,2.074,0.333,13.380,3.6,-16.48
"('Ti', 'Zr', 'Hf', 'In', 'La')",4.9160000000000000,1635.2,15.25,7.556,114.2622,127.2,0.115244305716161,3.32214,1.41,2.149,0.333,13.380,3.6,-6.24
"('Ti', 'Zr', 'Sc', 'V', 'Cr')",4.892,2032.6,11.0428,5.4320000000000000,57.397000000000000,110.4,0.066406573389264,3.5438,1.504,2.065,0.40625,13.380,4.4,-1.12
